r_fighter,b_fighter,b_avg_kd,b_avg_opp_kd,b_avg_sig_str_pct,b_avg_opp_sig_str_pct,b_avg_td_pct,b_avg_opp_td_pct,b_avg_sub_att,b_avg_opp_sub_att,b_avg_rev,b_avg_opp_rev,b_avg_sig_str_att,b_avg_sig_str_landed,b_avg_opp_sig_str_att,b_avg_opp_sig_str_landed,b_avg_total_str_att,b_avg_total_str_landed,b_avg_opp_total_str_att,b_avg_opp_total_str_landed,b_avg_td_att,b_avg_td_landed,b_avg_opp_td_att,b_avg_opp_td_landed,b_avg_head_att,b_avg_head_landed,b_avg_opp_head_att,b_avg_opp_head_landed,b_avg_body_att,b_avg_body_landed,b_avg_opp_body_att,b_avg_opp_body_landed,b_avg_leg_att,b_avg_leg_landed,b_avg_opp_leg_att,b_avg_opp_leg_landed,b_avg_distance_att,b_avg_distance_landed,b_avg_opp_distance_att,b_avg_opp_distance_landed,b_avg_clinch_att,b_avg_clinch_landed,b_avg_opp_clinch_att,b_avg_opp_clinch_landed,b_avg_ground_att,b_avg_ground_landed,b_avg_opp_ground_att,b_avg_opp_ground_landed,b_avg_ctrl_time_seconds,b_avg_opp_ctrl_time_seconds,b_total_rounds_fought,b_total_title_bouts,b_current_win_streak,b_current_lose_streak,b_longest_win_streak,b_wins,b_losses,b_draw,b_win_by_decision_majority,b_win_by_decision_split,b_win_by_decision_unanimous,b_win_by_ko_tko,b_win_by_submission,b_win_by_tko_doctor_stoppage,b_height_cms,b_reach_cms,r_avg_kd,r_avg_opp_kd,r_avg_sig_str_pct,r_avg_opp_sig_str_pct,r_avg_td_pct,r_avg_opp_td_pct,r_avg_sub_att,r_avg_opp_sub_att,r_avg_rev,r_avg_opp_rev,r_avg_sig_str_att,r_avg_sig_str_landed,r_avg_opp_sig_str_att,r_avg_opp_sig_str_landed,r_avg_total_str_att,r_avg_total_str_landed,r_avg_opp_total_str_att,r_avg_opp_total_str_landed,r_avg_td_att,r_avg_td_landed,r_avg_opp_td_att,r_avg_opp_td_landed,r_avg_head_att,r_avg_head_landed,r_avg_opp_head_att,r_avg_opp_head_landed,r_avg_body_att,r_avg_body_landed,r_avg_opp_body_att,r_avg_opp_body_landed,r_avg_leg_att,r_avg_leg_landed,r_avg_opp_leg_att,r_avg_opp_leg_landed,r_avg_distance_att,r_avg_distance_landed,r_avg_opp_distance_att,r_avg_opp_distance_landed,r_avg_clinch_att,r_avg_clinch_landed,r_avg_opp_clinch_att,r_avg_opp_clinch_landed,r_avg_ground_att,r_avg_ground_landed,r_avg_opp_ground_att,r_avg_opp_ground_landed,r_avg_ctrl_time_seconds,r_avg_opp_ctrl_time_seconds,r_total_rounds_fought,r_total_title_bouts,r_current_lose_streak,r_wins,r_losses,r_draw,r_win_by_decision_majority,r_win_by_decision_split,r_win_by_decision_unanimous,r_win_by_ko_tko,r_win_by_submission,r_win_by_tko_doctor_stoppage,r_height_cms,r_reach_cms,b_age,r_age,date,title_bout,weight_class,b_stance,r_stance,r_post_fight_win_streak
Trevin Giles,Roman Dolidze,0.5,0.0,0.66,0.305,0.3,0.5,1.5,0.0,0.0,0.0,65.5,35.0,50.0,16.5,113.5,68.5,68.5,29.0,2.5,1.5,0.5,0.5,46.0,20.0,36.0,7.5,12.0,8.0,8.0,3.0,7.5,7.0,6.0,6.0,58.0,30.0,48.0,15.5,0.5,0.5,0.5,0.5,7.0,4.5,1.5,0.5,219.5,24.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,187.96,193.04,1.03125,0.0625,0.576875,0.38125,0.40625,0.11625,0.25,1.1875,0.375,0.25,77.5625,43.15625,69.15625,27.59375,93.125,57.21875,98.34375,52.46875,1.28125,0.78125,4.6875,0.4375,71.09375,38.0625,50.40625,13.34375,4.6875,3.3125,9.09375,6.15625,1.78125,1.78125,9.65625,8.09375,58.3125,30.4375,63.3125,23.125,6.96875,3.65625,5.0,4.125,12.28125,9.0625,0.84375,0.34375,176.15625,154.6875,17,0,0,4,2,0,0,1,0,3,0,0,182.88,187.96,32.0,28.0,2021-03-20,False,Middleweight,Orthodox,Orthodox,3.0
Leonardo Santos,Grant Dawson,0.0,0.0,0.515,0.4737499999999999,0.435,0.25,1.25,0.625,0.0,0.25,86.0,40.75,55.5,25.125,150.625,93.5,79.0,46.75,6.375,2.625,0.25,0.25,60.625,23.125,42.375,14.625,10.0,4.5,10.625,8.25,15.375,13.125,2.5,2.25,68.875,29.625,50.125,20.25,3.125,2.0,3.0,2.75,14.0,9.125,2.375,2.125,431.75,17.375,10,0,4,0,4,4,0,0,0,0,2,0,2,0,177.8,182.88,0.3125,0.015625,0.56515625,0.34359375,0.33703125,0.04890625,0.0390625,0.0,0.0,0.5,78.9296875,42.1875,78.6171875,32.046875,110.9140625,68.0625,99.2890625,48.8984375,1.40625,0.6328125,5.6875,0.515625,65.1953125,32.28125,54.765625,14.3203125,9.609375,5.9453125,16.7265625,11.3046875,4.125,3.9609375,7.125,6.421875,62.28125,28.8828125,67.5390625,25.15625,6.234375,5.171875,3.875,3.2734375,10.4140625,8.1328125,7.203125,3.6171875,59.03125,193.546875,18,1,0,7,1,1,0,1,2,2,2,0,182.88,190.5,27.0,41.0,2021-03-20,False,Lightweight,Switch,Orthodox,0.0
Eryk Anders,Darren Stewart,0.0234375,0.0,0.4514453125,0.503193359375,0.32357421875,0.31439453125,0.25,0.015625,0.0,0.125,88.2216796875,42.630859375,87.2080078125,47.146484375,116.8271484375,66.49609375,141.830078125,98.21484375,4.5009765625,1.673828125,4.697265625,1.2587890625,66.404296875,24.1962890625,67.65625,33.798828125,5.76171875,4.48828125,10.451171875,6.638671875,16.0556640625,13.9462890625,9.1005859375,6.708984375,61.21875,25.53125,73.59765625,37.1904296875,8.1923828125,6.2099609375,11.15234375,8.015625,18.810546875,10.8896484375,2.4580078125,1.9404296875,142.8525390625,207.1044921875,24,0,0,1,3,5,6,1,0,1,1,2,1,0,182.88,187.96,0.173828125,0.25,0.43322265625,0.5121093750000001,0.0123828125,0.01953125,0.015625,0.001953125,0.0,0.015625,105.75,42.05859375,129.138671875,61.2890625,123.90625,58.693359375,149.140625,79.6953125,2.8125,0.111328125,3.53515625,0.03515625,78.451171875,21.9375,104.509765625,41.4453125,20.244140625,15.318359375,15.77734375,12.33203125,7.0546875,4.802734375,8.8515625,7.51171875,86.55859375,30.58203125,117.083984375,52.37109375,17.646484375,10.50390625,10.873046875,8.4140625,1.544921875,0.97265625,1.181640625,0.50390625,189.375,36.591796875,28,0,1,5,5,0,0,1,1,3,0,0,185.42,190.5,30.0,33.0,2021-03-13,False,Middleweight,Orthodox,Southpaw,0.0
Dan Ige,Gavin Tucker,0.0,0.3125,0.5293749999999999,0.4075,0.5,0.160625,1.3125,0.3125,0.375,0.25,158.8125,84.25,146.5,64.625,171.1875,96.0625,180.3125,95.875,8.9375,4.4375,2.4375,0.5,122.0625,54.3125,110.125,37.9375,29.4375,23.1875,32.125,23.25,7.3125,6.75,4.25,3.4375,132.3125,64.0625,110.25,39.375,23.3125,17.5625,22.625,17.75,3.1875,2.625,13.625,7.5,225.5,58.875,15,0,3,0,3,4,1,0,0,0,2,0,2,0,167.64,167.64,0.09375,0.25,0.44078125,0.420546875,0.186796875,0.6,0.03125,0.140625,0.015625,0.078125,172.109375,73.21875,183.46875,78.25,185.4375,84.4140625,190.5859375,84.8515625,6.25,0.53125,1.84375,0.9375,125.8671875,39.875,142.3515625,49.359375,32.4765625,22.125,27.640625,16.9765625,13.765625,11.21875,13.4765625,11.9140625,161.203125,64.7109375,159.6171875,65.1484375,5.734375,4.21875,5.046875,3.3125,5.171875,4.2890625,18.8046875,9.7890625,63.453125,123.65625,22,0,1,6,2,0,0,2,2,1,1,0,170.18,180.34,34.0,29.0,2021-03-13,False,Featherweight,Southpaw,Orthodox,1.0
Song Yadong,Kyler Phillips,0.0,0.0,0.4649999999999999,0.3349999999999999,0.75,0.165,0.5,0.5,0.0,0.0,123.0,60.5,63.5,21.0,137.5,73.0,77.5,31.5,3.0,2.0,3.0,1.0,101.0,44.0,52.5,13.0,13.5,9.0,8.5,6.0,8.5,7.5,2.5,2.0,82.5,35.5,58.5,18.5,7.5,5.5,1.5,0.5,33.0,19.5,3.5,2.0,248.5,76.0,5,0,2,0,2,2,0,0,0,0,1,1,0,0,172.72,182.88,0.1875,0.0,0.41875,0.4746875,0.09375,0.4325,0.0625,0.0,0.25,0.0,144.03125,65.40625,114.96875,61.34375,161.84375,81.15625,147.875,92.4375,0.65625,0.15625,4.59375,2.25,123.71875,49.9375,76.59375,32.5,11.125,7.6875,23.46875,16.625,9.1875,7.78125,14.90625,12.21875,124.75,52.40625,90.78125,44.40625,16.28125,11.0,15.0,10.375,3.0,2.0,9.1875,6.5625,66.4375,197.3125,13,0,0,5,1,1,0,0,2,2,1,0,172.72,170.18,25.0,23.0,2021-03-06,False,Bantamweight,Orthodox,Orthodox,0.0
Islam Makhachev,Drew Dober,0.388671875,0.0,0.469420166015625,0.4209600830078125,0.031591796875,0.3411578369140625,0.0001220703125,0.098388671875,0.0,0.01953125,95.99322509765624,42.1259765625,68.90057373046875,24.63958740234375,101.3607177734375,46.9869384765625,73.6173095703125,29.288330078125,0.18060302734375,0.0673828125,3.02996826171875,1.6744384765625,82.55108642578125,32.88763427734375,55.364013671875,15.5419921875,7.69122314453125,4.7169189453125,11.87322998046875,8.01904296875,5.75091552734375,4.52142333984375,1.663330078125,1.07855224609375,85.18658447265625,33.2042236328125,62.77264404296875,20.0989990234375,6.55426025390625,4.88812255859375,4.61328125,3.29547119140625,4.25238037109375,4.03363037109375,1.5146484375,1.2451171875,27.59954833984375,56.83709716796875,29,0,3,0,3,9,6,1,0,0,3,5,1,0,172.72,177.8,0.5625,0.0078125,0.51875,0.2390625,0.2865625,0.02,0.1640625,0.0625,0.03125,0.0625,57.7421875,27.875,43.734375,8.3125,96.8828125,61.9921875,68.0234375,31.359375,3.1328125,1.3671875,3.5625,0.25,48.1953125,20.0859375,29.515625,3.96875,7.03125,5.5234375,11.890625,2.8515625,2.515625,2.265625,2.328125,1.4921875,42.21875,16.4296875,40.125,5.3046875,3.640625,3.5703125,3.4765625,2.90625,11.8828125,7.875,0.1328125,0.1015625,274.171875,44.03125,17,0,0,7,1,0,0,0,4,1,2,0,177.8,177.8,32.0,29.0,2021-03-06,False,Lightweight,Southpaw,Southpaw,7.0
Tim Elliott,Jordan Espinosa,0.0,0.0,0.4181249999999999,0.369375,0.185625,0.125,0.0,0.1875,0.0,0.0,135.8125,60.0,109.4375,45.25,153.0625,75.5,113.9375,49.0,1.5,0.5625,1.375,0.125,102.0,32.6875,70.75,19.75,15.125,11.625,14.5625,7.0625,18.6875,15.6875,24.125,18.4375,115.625,44.1875,99.8125,40.5,14.6875,11.3125,9.625,4.75,5.5,4.5,0.0,0.0,38.1875,70.875,11,0,0,1,1,2,3,0,0,0,2,0,0,0,167.64,175.26,0.0001220703125,0.0,0.450472412109375,0.472388916015625,0.23367431640625,0.5215893554687501,1.07958984375,1.6064453125,0.8359375,0.2882080078125,110.865966796875,46.3450927734375,90.250732421875,41.755859375,137.4373779296875,71.168212890625,100.1522216796875,51.1326904296875,10.7625732421875,2.0863037109375,2.2857666015625,0.805419921875,65.3936767578125,20.250244140625,73.3895263671875,29.818603515625,24.8863525390625,11.271728515625,12.7840576171875,8.126708984375,20.5859375,14.8231201171875,4.0771484375,3.810546875,89.5953369140625,30.794677734375,78.3470458984375,34.393798828125,14.7406005859375,9.78955078125,9.181396484375,5.439453125,6.530029296875,5.7608642578125,2.7222900390625,1.922607421875,172.251708984375,80.5167236328125,36,1,0,5,9,0,0,0,4,0,1,0,170.18,167.64,31.0,34.0,2021-03-06,False,Flyweight,Orthodox,Southpaw,2.0
Jairzinho Rozenstruik,Ciryl Gane,0.625,0.0,0.61875,0.26875,0.125,0.0,0.25,0.0,0.0,0.0,103.75,59.375,63.75,17.875,106.125,61.625,65.875,19.625,0.75,0.375,0.75,0.0,60.875,22.625,49.5,8.625,22.375,18.25,6.5,3.625,20.5,18.5,7.75,5.625,93.125,51.0,62.875,17.5,8.0,6.875,0.875,0.375,2.625,1.5,0.0,0.0,33.75,0.375,9,0,4,0,4,4,0,0,0,0,1,1,2,0,193.04,205.74,0.75,0.25,0.7050000000000001,0.520625,0.0,0.0353125,0.0,0.0,0.03125,0.0,61.90625,34.40625,39.8125,23.5625,64.625,37.125,43.8125,27.1875,0.0,0.0,1.4375,0.3125,43.6875,19.1875,24.15625,10.53125,3.53125,2.53125,9.71875,8.34375,14.6875,12.6875,5.9375,4.6875,49.375,25.375,35.03125,19.21875,3.53125,2.53125,1.1875,1.15625,9.0,6.5,3.59375,3.1875,5.875,68.96875,12,0,0,5,1,0,0,0,0,5,0,0,193.04,198.12,30.0,32.0,2021-02-27,False,Heavyweight,Orthodox,Orthodox,0.0
Montana De La Rosa,Mayra Bueno Silva,0.0,0.0,0.375,0.6225,0.0,0.395,0.75,0.0,0.0,0.0,48.0,25.75,70.75,40.5,49.75,27.5,91.75,55.75,0.0,0.0,3.75,1.25,33.0,14.0,47.75,23.75,6.5,5.5,18.5,12.5,8.5,6.25,4.5,4.25,41.5,20.5,56.25,30.25,4.25,3.75,4.75,2.75,2.25,1.5,9.75,7.5,14.75,167.75,5,0,1,0,1,2,1,0,0,0,0,0,2,0,167.64,167.64,0.25,0.0,0.37125,0.5440624999999999,0.255,0.1975,0.625,0.03125,0.0,0.0,145.0,54.25,102.96875,57.75,171.5,75.375,121.9375,74.71875,5.625,1.5,1.40625,0.40625,119.96875,36.15625,80.75,37.96875,14.65625,8.84375,12.34375,10.46875,10.375,9.25,9.875,9.3125,131.5,44.625,94.0,50.65625,9.25,6.03125,5.8125,4.65625,4.25,3.59375,3.15625,2.4375,207.71875,56.09375,15,0,1,4,2,0,0,0,1,0,3,0,170.18,172.72,29.0,26.0,2021-02-27,False,WomenFlyweight,Orthodox,Orthodox,0.0
Dustin Jacoby,Maxim Grishin,0.0,0.0,0.5,0.49,0.5,0.31,0.0,0.0,0.0,0.0,54.0,26.0,37.5,18.0,98.5,60.0,81.5,50.5,0.5,0.5,6.0,2.0,40.5,14.5,25.5,10.0,6.0,5.0,7.0,4.5,7.5,6.5,5.0,3.5,36.0,18.0,27.0,11.0,5.5,3.5,8.0,4.5,12.5,4.5,2.5,2.5,78.5,362.0,5,0,1,0,1,1,1,0,0,0,0,1,0,0,190.5,198.12,1.0,0.0,0.4049999999999999,0.3225,0.0,0.25,0.0,0.5,0.0,0.0,68.5,23.0,68.0,22.5,73.0,27.5,84.25,36.25,0.0,0.0,1.0,0.75,52.75,12.5,59.25,15.75,7.5,3.75,3.5,1.75,8.25,6.75,5.25,5.0,63.25,20.0,61.75,20.25,1.25,0.5,2.0,0.5,4.0,2.5,4.25,1.75,5.5,89.5,7,0,0,1,2,0,0,0,0,1,0,0,190.5,193.04,36.0,32.0,2021-02-27,False,LightHeavyweight,Orthodox,Orthodox,2.0
